"дискорд",20000,active,"что с дискордом,роскомнадзор,ркн,дискорд не работает,дискорд,дискорд заблокировали,discord не работает,блокировка дискорд,не работает дискорд"
"ркн сайт",2000,active,"ркн,ркн сайт,роскомнадзор сайт,сайт роскомнадзора"
"hurricane milton",10000,active,"milton,milton hurricane path,ураган милтон,ураган сша,флорида ураган,hurrican milton"
"факел – махачкала",3500,inactive,"факел – махачкала,факел динамо махачкала,факел"
"погода",220000,active,"погода,погода на месяц,погода спб,погода на завтра"
"с днем учителя",9500,active,"с днем учителя,с днем учителя картинки,день учителя 2024,день учителя,поздравление с днем учителя,открытка с днем учителя,когда день учителя,когда день учителя в 2024 году"
"локомотив москва – крылья советов",900,active,"локомотив москва – крылья советов,матч тв,локомотив,локомотив москва матч"
"добрынин",37000,active,"добрынин,вячеслав добрынин,добрынин умер,добрынин вячеслав,лев лещенко"
"алавес – барселона",2020,inactive,"алавес – барселонаб,барселона,алавес"
"спартак-москва – ростов",700,inactive,"спартак-москва – ростов,рпл игры"
"акрон – пари нн",1200,inactive,"акрон – пари нн"
"рпл",100,inactive,"рпл"
"динамо москва – спартак-москва",1000,active,"динамо москва – спартак-москва,динамо спартак,кубок россии,спартак,спартак динамо,динамо,кубок россии по футболу,динамо москва,фк динамо москва – спартак-москва турнирная таблица"
"барселона – янг бойз",2900,inactive,"барселона – янг бойз,барселона янг бойз,барселона"
"арсенал – псж",1000,active,"арсенал – псж,лига чемпионов,арсенал псж,арсенал псж смотреть онлайн,псж арсенал,арсенал псж прогноз,лч"
"локомотив москва – оренбург",4500,inactive,"локомотив москва – оренбург,локомотив,оренбург локомотив,локомотив москва"
"химки – ростов",2100,inactive,"химки – ростов"
"зенит – акрон",700,inactive,"зенит – акрон,зенит,акрон"
"крылья советов – махачкала",1500,inactive,"крылья советов – махачкала"
"телеграм",20000,active,"телеграм,сбой телеграма,телеграмм"
"дневник",100,inactive,"дневник"
"пари нн – цска москва",100,inactive,"пари нн – цска москва,цска,цска москва"
"ржд",600,inactive,"ржд"
"автомобилист – барыс",500,inactive,"автомобилист – барыс"
"динамо москва – цска москва",1700,inactive,"динамо москва – цска москва"
"урал – торпедо",1000,inactive,"урал – торпедо,урал торпедо,фк урал"
"сидни суини",1700,inactive,"сидни суини"
"автомобилист – сибирь",500,inactive,"автомобилист – сибирь,автомобилист"
"альфа банк",8000,active,"альфа банк,альфа банк онлайн,alfabank"
"автомобилист – локомотив",500,inactive,"автомобилист – локомотив"
"израиль",500,inactive,"израиль,иран"
"одноклассники",100,inactive,"одноклассники"
"локомотив – ска",500,inactive,"локомотив – ска"
"ницца – псж",500,inactive,"ницца – псж"
"андрей неретин",1000,inactive,"андрей неретин,виталий наливкин,наливкин"
